,Community,Result,Year,Above 15 ppb,Above 10 ppb,Above 5 ppb,Household_income,Black_income,American_Indian_Income,Asian_income,Hawaiian_income,White_income,Hispanic_income,Total_households,Self_employed,Not_self_employed,Area in Square Miles,Summarized area in Square Miles.1,Income_to_poverty_base,Income_below_poverty_level,Ratio_households_above_poverty_level,Summarized area in Square Miles.2,Percent_white,Percent_black,Percent_native_american,Percent_asian,Percent_hawaiian,Percent_hispanic,Population 9-47 mo1,Total Screened,Percent Screened,Percentage_0-4,Percentage_5-9,Percentage_10-24,Percentage_>25,Percent_Pre-1978_Housing_Units,Percentage_>5
44,CHESHIRE,0.007833999999999997,2016.36,0.06,0.075,0.15,64960.7986093,0.0,0.0,0.0,0.0,63503.20702062,116027.48992895,1434.90866434,103.99338055,1330.91528379,27.51745974,27.51584679,3208.24445434,124.93161946,10.30131384,27.51584672,95.67319326,0.29991597,0.19994398,0.0,0.0,3.09913165,72.0,79.0,99.0,100.0,0.0,0.0,0.0,64.0,0.0
45,CHESTERFIELD,0.001131176470588235,2016.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,73999.94904094,0.0,0.0,0.0,0.0,73999.94904193,0.0,518.96212917,85.99372468,432.96840449,31.24600964,31.2468654,1110.58754866,31.98811434,14.07997887,31.24686541,97.38677254,0.0,0.0,0.0,0.39994568,2.19970123,22.0,16.0,73.0,100.0,0.0,0.0,0.0,64.0,0.0
47,CHICOPEE,0.0017555670103092773,2016.1752577319587,0.014175257731958763,0.015463917525773196,0.024484536082474227,55019.05444539,16781.14589399,7.78e-05,11723.7918273,0.0,60038.3690936,19575.55328555,1972.45672617,112.90115428,1859.55552361,23.87293465,23.87410729,4745.0647152,206.98354975,11.19354315,22.92524151,76.52823931,4.33097416,0.150908,2.4656253,0.0,14.87838636,2070.0,1311.0,63.0,98.4,1.3,0.3,0.0,82.0,1.2
48,CLARKSBURG,0.0034036111111111116,2016.0,0.0,0.05555555555555555,0.2222222222222222,64283.4631086,0.0,0.0,0.0,0.0,63792.81792253,1.13e-05,696.83423177,105.97473437,590.8594974,12.79145011,12.79069336,1799.39766984,34.94944877,18.9714113,12.79069336,95.7307014,1.49891502,9e-08,3.8e-07,0.0,1.99855406,44.0,10.0,23.0,100.0,0.0,0.0,0.0,81.0,0.0
49,CLINTON,0.0006815189873417719,2018.0,0.012658227848101266,0.015822784810126583,0.04113924050632911,74203.99375231,0.0,0.0,146129.38634089,0.0,74558.99496548,9875.5257194,2618.86140351,176.91401535,2441.94738817,7.26124508,7.26108806,6552.79336618,197.87002696,12.26684665,7.26108806,82.12810092,0.36721616,0.0,1.34182481,0.0,14.21809257,559.0,394.0,70.0,98.2,1.5,0.0,0.0,71.0,0.0
50,COHASSET,0.0,2016.0,0.0,0.0,0.0,130905.25830436,0.0,0.0,1.715e-05,0.0,129602.18639217,0.0,3088.78941929,456.96884578,2631.82057351,10.0579689,10.04148966,7372.97870867,130.9640918,18.98812476,10.02604251,95.9480767,0.59410574,0.09901762,0.79214098,0.0,0.89115861,244.0,276.0,99.0,99.6,0.0,0.0,0.0,67.0,0.0
51,COLRAIN,0.0015655172413793102,2016.0,0.017241379310344827,0.017241379310344827,0.05172413793103448,15374.97291664,0.0,0.0,8.32e-06,0.0,15546.66210069,8618.25465964,493.72938861,96.94686375,396.78252485,43.36469314,43.36582225,1197.21721481,52.96536927,2.34974045,43.35274229,25.71282598,0.16222614,0.0,0.24333908,0.0,0.40556513,34.0,26.0,76.0,100.0,0.0,0.0,0.0,62.0,0.0
52,CONWAY,0.0018126785714285712,2016.2857142857142,0.017857142857142856,0.03571428571428571,0.05357142857142857,38602.48665066,5e-08,0.0,9e-08,0.0,39661.91389567,0.0,702.98985917,210.99695631,492.99288843,37.87832935,37.87777162,1660.08958569,47.9736791,6.62262344,37.82997532,46.45590892,0.04844203,0.04844203,0.1453261,0.0,1.16260877,46.0,21.0,46.0,95.2,0.0,0.0,0.0,56.0,0.0
53,DALTON,0.0,2016.0,0.0,0.0,0.0,59096.97550243,0.0,0.0,0.0,0.0,58286.31876575,0.00209176,3042.30098983,345.92052004,2696.38046979,21.87000223,21.87010346,6636.87660203,264.87534538,8.86621919,21.87010346,92.56080519,0.19991535,0.59974603,1.89919575,0.0,3.99830689,170.0,129.0,76.0,98.4,0.0,0.0,0.0,85.0,0.0
54,DEDHAM,0.029598736196319003,2016.006134969325,0.09815950920245399,0.147239263803681,0.22699386503067484,107598.07715188,20467.7579321,0.0,38025.37239705,0.0,104115.41540118,147730.71608394,1742.40643791,237.09114278,1505.31529513,10.68416785,10.6843329,4102.96248771,80.51416092,30.93562338,10.45060811,79.30231031,6.69577474,0.18575962,2.44377273,0.03184427,8.2835057,976.0,713.0,73.0,99.0,0.8,0.0,0.0,74.0,0.0
